level2,level1
B-intermediate,B
B-memory,B
B-naive,B
Plasmablast,B
CD4-CTL,CD4-T
CD4-Naive,CD4-T
CD4-Proliferating,CD4-T
CD4-TCM,CD4-T
CD4-TEM,CD4-T
Treg,CD4-T
CD8-Naive,CD8-T
CD8-Proliferating,CD8-T
CD8-TCM,CD8-T
CD8-TEM,CD8-T
ASDC,DC
cDC1,DC
cDC2,DC
pDC,DC
CD14-Mono,Mono
CD16-Mono,Mono
NK,NK
NK_CD56bright,NK
NK-Proliferating,NK
Eryth,other
HSPC,other
ILC,other
Platelet,other
dnT,other-T
gdT,other-T
MAIT,other-T
